env,task,model,provider,memory_type,tw_difficulty,tw_level,env_name,agent_type,run_seed,episodes,successes,success_rate,success_rate_ci95_lower,success_rate_ci95_upper,success_std_episode_level,source_file,memory_type_from_filename,avg_steps_to_success,std_steps_to_success,avg_steps_all,std_steps_all,loop_rate,episodes_with_loop,loop_detector,truncation_rate,episodes_truncated,blocked_forward_rate,blocked_forward_steps,forward_attempt_steps,bfr_detector,blocked_forward_rate_explanation,fade_avg_active_facts,fade_std_active_facts,fade_avg_dormant_facts,fade_std_dormant_facts,fade_avg_fused_facts,fade_std_fused_facts,fade_avg_reactivations,fade_std_reactivations,fade_avg_priming_boosts,fade_std_priming_boosts,fade_avg_tag_triggers_fired,fade_std_tag_triggers_fired,fade_avg_tag_shields_expired,fade_std_tag_shields_expired,fade_avg_contradictions,fade_std_contradictions,fade_avg_compatible_resolved,fade_std_compatible_resolved,fade_avg_subsume_resolved,fade_std_subsume_resolved,fade_avg_fusions_performed,fade_std_fusions_performed,fade_episodes_with_memory_stats
babyai,Pickup,gemini-2.5-flash-lite,gemini,enriched,,,BabyAI-Pickup-v0,enriched,0,30,2,0.06666666666666667,0.018476635327693364,0.2132381772107209,0.24944382578492943,rollout_enriched_BabyAIPickupv0_20260401_160051_summary.json,enriched_BabyAIPickupv0,62.5,7.5,78.83333333333333,4.775516260631468,0.9666666666666667,29,v1_streak5_osc6,0.9333333333333333,28,0.8539576365663322,766,897,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,deepseek-chat,deepseek,enriched,,,BabyAI-Unlock-v0,enriched,0,30,2,0.06666666666666667,0.018476635327693364,0.2132381772107209,0.24944382578492943,rollout_enriched_BabyAIUnlockv0_20260331_205821_summary.json,enriched_BabyAIUnlockv0,46.5,24.5,77.76666666666667,10.480723045456147,1,30,v1_streak5_osc6,0.9333333333333333,28,0.8807339449541285,192,218,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gpt-4o-mini,openai,enriched,,,BabyAI-Unlock-v0,enriched,0,30,0,0,0.0,0.113517091390478,0.0,rollout_enriched_BabyAIUnlockv0_20260401_071252_summary.json,enriched_BabyAIUnlockv0,,,80.0,0.0,0.9333333333333333,28,v1_streak5_osc6,1,30,0.8551068883610451,360,421,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gemini-2.5-flash-lite,gemini,enriched,,,BabyAI-Unlock-v0,enriched,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_enriched_BabyAIUnlockv0_20260401_151252_summary.json,enriched_BabyAIUnlockv0,13.333333333333334,6.944222218666553,73.33333333333333,20.1201943882812,0.9,27,v1_streak5_osc6,0.9,27,0.7070552147239264,461,652,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,deepseek-chat,deepseek,enriched_history,,,BabyAI-GoToObj-v0,enriched_history,0,30,21,0.7,0.5212387898833981,0.8333543735604105,0.458257569495584,rollout_enriched_history_BabyAIGoToObjv0_20260331_150834_summary.json,enriched_history_BabyAIGoToObjv0,20.333333333333332,15.378814535195374,33.43333333333333,23.79031081950988,0.7,21,v1_streak5_osc6,0.3,9,0.08333333333333333,9,108,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gpt-4o-mini,openai,enriched_history,,,BabyAI-GoToObj-v0,enriched_history,0,30,15,0.5,0.33153851227173764,0.6684614877282624,0.5,rollout_enriched_history_BabyAIGoToObjv0_20260401_025213_summary.json,enriched_history_BabyAIGoToObjv0,11.6,10.467728183963,37.8,27.22547826332288,0.5666666666666667,17,v1_streak5_osc6,0.5,15,0.038461538461538464,2,52,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gemini-2.5-flash-lite,gemini,enriched_history,,,BabyAI-GoToObj-v0,enriched_history,0,30,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.4818944098266987,rollout_enriched_history_BabyAIGoToObjv0_20260403_134317_summary.json,enriched_history_BabyAIGoToObjv0,19.31578947368421,16.783615542919254,35.7,25.339231769465048,0.43333333333333335,13,v1_streak5_osc6,0.36666666666666664,11,0.2077922077922078,32,154,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,deepseek-chat,deepseek,enriched_history,,,BabyAI-Open-v0,enriched_history,0,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.42295258468165065,rollout_enriched_history_BabyAIOpenv0_20260331_213231_summary.json,enriched_history_BabyAIOpenv0,24.0,22.965813101838382,66.93333333333334,26.154583197256695,0.7,21,v1_streak5_osc6,0.7666666666666667,23,0.4513064133016627,190,421,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,gpt-4o-mini,openai,enriched_history,,,BabyAI-Open-v0,enriched_history,0,30,5,0.16666666666666666,0.07336434240351686,0.33564705185680177,0.37267799624996495,rollout_enriched_history_BabyAIOpenv0_20260401_055810_summary.json,enriched_history_BabyAIOpenv0,22.4,24.63818175109519,70.4,23.705976742866625,0.7333333333333333,22,v1_streak5_osc6,0.8333333333333334,25,0.6946386946386947,298,429,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,gemini-2.5-flash-lite,gemini,enriched_history,,,BabyAI-Open-v0,enriched_history,0,30,9,0.3,0.16664562643958933,0.4787612101166018,0.458257569495584,rollout_enriched_history_BabyAIOpenv0_20260401_104022_summary.json,enriched_history_BabyAIOpenv0,21.22222222222222,23.01582922820137,62.36666666666667,29.739405209624188,0.7333333333333333,22,v1_streak5_osc6,0.7,21,0.4837476099426386,253,523,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,deepseek-chat,deepseek,enriched_history,,,BabyAI-Pickup-v0,enriched_history,0,30,5,0.16666666666666666,0.07336434240351686,0.33564705185680177,0.37267799624996495,rollout_enriched_history_BabyAIPickupv0_20260331_225858_summary.json,enriched_history_BabyAIPickupv0,28.4,15.856859714331838,71.4,20.290556095550134,0.9,27,v1_streak5_osc6,0.8333333333333334,25,0.34451901565995524,154,447,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,gpt-4o-mini,openai,enriched_history,,,BabyAI-Pickup-v0,enriched_history,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_enriched_history_BabyAIPickupv0_20260401_061933_summary.json,enriched_history_BabyAIPickupv0,25.666666666666668,27.86076492528915,74.56666666666666,18.528686467805056,0.7666666666666667,23,v1_streak5_osc6,0.9,27,0.7886178861788617,291,369,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,gemini-2.5-flash-lite,gemini,enriched_history,,,BabyAI-Pickup-v0,enriched_history,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_enriched_history_BabyAIPickupv0_20260401_163912_summary.json,enriched_history_BabyAIPickupv0,27.333333333333332,29.465610840812758,74.73333333333333,18.34290659143807,0.9,27,v1_streak5_osc6,0.9,27,0.6146272855133614,437,711,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,deepseek-chat,deepseek,enriched_history,,,BabyAI-Unlock-v0,enriched_history,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_enriched_history_BabyAIUnlockv0_20260331_222734_summary.json,enriched_history_BabyAIUnlockv0,47.666666666666664,26.10661899893503,76.76666666666667,12.737564741957371,0.9666666666666667,29,v1_streak5_osc6,0.9,27,0.5223880597014925,245,469,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gpt-4o-mini,openai,enriched_history,,,BabyAI-Unlock-v0,enriched_history,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_enriched_history_BabyAIUnlockv0_20260401_054736_summary.json,enriched_history_BabyAIUnlockv0,37.75,21.579793789561567,74.36666666666666,16.381866668837088,0.9333333333333333,28,v1_streak5_osc6,0.8666666666666667,26,0.7676630434782609,565,736,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gemini-2.5-flash-lite,gemini,enriched_history,,,BabyAI-Unlock-v0,enriched_history,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_enriched_history_BabyAIUnlockv0_20260401_104723_summary.json,enriched_history_BabyAIUnlockv0,36.75,18.779976038323372,74.23333333333333,16.222789183395342,0.7333333333333333,22,v1_streak5_osc6,0.8666666666666667,26,0.5269168026101142,323,613,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gpt-4o-mini,openai,fade_enriched_history,,,BabyAI-GoToObj-v0,fade_enriched_history,0,30,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,0.49888765156985887,rollout_fade_enriched_history_BabyAIGoToObjv0_20260401_083506_summary.json,fade_enriched_history_BabyAIGoToObjv0,15.625,13.317633986560827,38.2,26.01973609909729,0.6666666666666666,20,v1_streak5_osc6,0.4666666666666667,14,0.0392156862745098,2,51,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,deepseek-chat,deepseek,fade_enriched_history,,,BabyAI-GoToObj-v0,fade_enriched_history,0,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489,0.49553562491061687,rollout_fade_enriched_history_BabyAIGoToObjv0_20260401_114147_summary.json,fade_enriched_history_BabyAIGoToObjv0,13.647058823529411,13.015561620255095,35.46666666666667,26.80638398259307,0.6,18,v1_streak5_osc6,0.43333333333333335,13,0.06818181818181818,6,88,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gemini-2.5-flash-lite,gemini,fade_enriched_history,,,BabyAI-GoToObj-v0,fade_enriched_history,0,30,18,0.6,0.42320052498273836,0.7540960567391659,0.4898979485566356,rollout_fade_enriched_history_BabyAIGoToObjv0_20260401_172607_summary.json,fade_enriched_history_BabyAIGoToObjv0,16.77777777777778,16.8442392247833,35.666666666666664,26.55978580904263,0.5666666666666667,17,v1_streak5_osc6,0.4,12,0.24193548387096775,30,124,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,gpt-4o-mini,openai,fade_enriched_history,,,BabyAI-Open-v0,fade_enriched_history,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_fade_enriched_history_BabyAIOpenv0_20260401_083625_summary.json,fade_enriched_history_BabyAIOpenv0,27.5,31.196954979612993,73.0,21.172308959267212,0.8333333333333334,25,v1_streak5_osc6,0.8666666666666667,26,0.724390243902439,297,410,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,deepseek-chat,deepseek,fade_enriched_history,,,BabyAI-Open-v0,fade_enriched_history,0,30,6,0.2,0.09504978102401235,0.37306047381027446,0.4,rollout_fade_enriched_history_BabyAIOpenv0_20260401_114220_summary.json,fade_enriched_history_BabyAIOpenv0,15.0,14.719601443879744,67.0,26.820390253188588,0.7666666666666667,23,v1_streak5_osc6,0.8,24,0.47109826589595377,163,346,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,gemini-2.5-flash-lite,gemini,fade_enriched_history,,,BabyAI-Open-v0,fade_enriched_history,0,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.4229525846816507,rollout_fade_enriched_history_BabyAIOpenv0_20260401_183630_summary.json,fade_enriched_history_BabyAIOpenv0,8.714285714285714,6.797358430497325,63.36666666666667,30.3287359153365,0.7,21,v1_streak5_osc6,0.7666666666666667,23,0.46651785714285715,209,448,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,gpt-4o-mini,openai,fade_enriched_history,,,BabyAI-Pickup-v0,fade_enriched_history,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_fade_enriched_history_BabyAIPickupv0_20260401_085240_summary.json,fade_enriched_history_BabyAIPickupv0,20.5,23.47871376374779,72.06666666666666,21.968057619087663,0.7666666666666667,23,v1_streak5_osc6,0.8666666666666667,26,0.6520376175548589,208,319,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,deepseek-chat,deepseek,fade_enriched_history,,,BabyAI-Pickup-v0,fade_enriched_history,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_fade_enriched_history_BabyAIPickupv0_20260401_122925_summary.json,fade_enriched_history_BabyAIPickupv0,37.0,15.769168230019828,75.7,13.830280787701552,0.7666666666666667,23,v1_streak5_osc6,0.9,27,0.3125,140,448,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,gemini-2.5-flash-lite,gemini,fade_enriched_history,,,BabyAI-Pickup-v0,fade_enriched_history,0,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.4229525846816507,rollout_fade_enriched_history_BabyAIPickupv0_20260401_172449_summary.json,fade_enriched_history_BabyAIPickupv0,39.0,21.084862545708678,70.43333333333334,20.110831796709842,0.8333333333333334,25,v1_streak5_osc6,0.7666666666666667,23,0.5157894736842106,294,570,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gpt-4o-mini,openai,fade_enriched_history,,,BabyAI-Unlock-v0,fade_enriched_history,0,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.17950549357115014,rollout_fade_enriched_history_BabyAIUnlockv0_20260401_084601_summary.json,fade_enriched_history_BabyAIUnlockv0,18.0,0.0,77.93333333333334,11.12934060141131,0.9333333333333333,28,v1_streak5_osc6,0.9666666666666667,29,0.8154020385050963,720,883,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,deepseek-chat,deepseek,fade_enriched_history,,,BabyAI-Unlock-v0,fade_enriched_history,0,30,2,0.06666666666666667,0.018476635327693364,0.2132381772107209,0.24944382578492943,rollout_fade_enriched_history_BabyAIUnlockv0_20260401_122910_summary.json,fade_enriched_history_BabyAIUnlockv0,33.0,14.0,76.86666666666666,12.268478127117298,0.9,27,v1_streak5_osc6,0.9333333333333333,28,0.5255102040816326,206,392,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gemini-2.5-flash-lite,gemini,fade_enriched_history,,,BabyAI-Unlock-v0,fade_enriched_history,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_fade_enriched_history_BabyAIUnlockv0_20260401_172420_summary.json,fade_enriched_history_BabyAIUnlockv0,45.333333333333336,28.394052585395805,76.53333333333333,13.739804300725037,0.9,27,v1_streak5_osc6,0.9,27,0.47394957983193275,282,595,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,deepseek-chat,deepseek,reflection,,,BabyAI-GoToObj-v0,reflection,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_reflection_BabyAIGoToObjv0_20260331_123236_summary.json,reflection_BabyAIGoToObjv0,2.75,0.4330127018922193,55.833333333333336,20.82159669403115,0.8,24,v1_streak5_osc6,0.8666666666666667,26,0.0,0,6,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gpt-4o-mini,openai,reflection,,,BabyAI-GoToObj-v0,reflection,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_reflection_BabyAIGoToObjv0_20260331_235047_summary.json,reflection_BabyAIGoToObjv0,2.75,0.4330127018922193,55.833333333333336,20.82159669403115,0.8333333333333334,25,v1_streak5_osc6,0.8666666666666667,26,0.0,0,6,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
